rank,verb,count
257,inject,11
258,hypothesize,11
259,reveal,11
260,exploit,11
261,spill,10
262,respond,10
263,recover,10
264,acquire,10
265,attend,10
266,avoid,10
267,dry,10
268,tackle,10
269,chunk,10
270,augment,10
271,regard,10
272,decompose,10
273,boost,10
274,play,10
275,restore,10
276,unify,10
277,quantize,10
278,say,9
279,interact,9
280,contribute,9
281,assume,9
282,appear,9
283,structure,9
284,underlie,9
285,span,9
286,know,9
287,ﬁnetune,9
288,experiment,9
289,establish,9
290,divide,9
291,operate,9
292,recognize,9
293,categorize,9
294,retain,9
295,feature,9
296,touch,9
297,highlight,9
298,figure,9
299,express,8
300,weight,8
301,seek,8
302,parse,8
303,accord,8
304,mark,8
305,page,8
306,advise,8
307,transform,8
308,tend,8
309,name,8
310,deliver,8
311,architecture,8
312,compose,8
313,pull,8
314,shoot,8
315,exceed,8
316,facilitate,8
317,target,8
318,spawn,8
319,orient,8
320,reward,8
321,validate,8
322,craft,8
323,locate,8
324,review,8
325,reconstruct,8
326,constrain,7
327,draw,7
328,assign,7
329,visualize,7
330,instantiate,7
331,translate,7
332,like,7
333,thank,7
334,distribute,7
335,occur,7
336,detail,7
337,normalize,7
338,resolve,7
339,stack,7
340,flatten,7
341,recommend,7
342,lie,7
343,switch,7
344,depict,7
345,impact,7
346,degrade,7
347,showcase,7
348,instruct,7
349,imitate,7
350,calculate,7
351,notice,7
352,filter,7
353,block,7
354,advance,7
355,beneﬁte,7
356,associate,6
357,break,6
358,navigate,6
359,let,6
360,group,6
361,speciﬁe,6
362,accept,6
363,decide,6
364,pixel,6
365,prove,6
366,preserve,6
367,encourage,6
368,teach,6
369,turn,6
370,accommodate,6
371,insert,6
372,stand,6
373,confirm,6
374,separate,6
375,detect,6
376,range,6
377,bound,6
378,accelerate,6
379,iclr,6
380,decouple,6
381,matter,6
382,pool,6
383,consume,6
384,classify,6
385,suffer,6
386,maintain,6
387,enrich,6
388,supply,5
389,seem,5
390,equip,5
391,score,5
392,ﬁxe,5
393,command,5
394,ﬁnd,5
395,update,5
396,oppose,5
397,rearrange,5
398,mirror,5
399,verify,5
400,approach,5
401,tell,5
402,log,5
403,manage,5
404,crop,5
405,randomize,5
406,grow,5
407,mix,5
408,situate,5
409,resemble,5
410,denoise,5
411,emphasize,5
412,expose,5
413,adjust,5
414,promise,5
415,enjoy,5
416,treat,5
417,parameterize,5
418,minimize,5
419,elongate,5
420,acknowledge,5
421,beneﬁt,5
422,carry,5
423,emerge,5
424,explain,5
425,elaborate,5
426,corrupt,5
427,cast,5
428,restrict,5
429,load,5
430,cause,5
431,benchmarke,5
432,arise,5
433,fall,5
434,derive,5
435,check,5
436,distill,5
437,retrieve,5
438,try,4
439,motivate,4
440,factorize,4
441,inform,4
442,want,4
443,append,4
444,force,4
445,suit,4
446,agree,4
447,watch,4
448,return,4
449,lose,4
450,think,4
451,input,4
452,order,4
453,pad,4
454,teleoperate,4
455,perturb,4
456,exclude,4
457,imbue,4
458,finish,4
459,grab,4
460,task,4
461,tailor,4
462,bag,4
463,miss,4
464,mount,4
465,encompass,4
466,discover,4
467,overcome,4
468,surpass,4
469,discretize,4
470,overlap,4
471,happen,4
472,compete,4
473,render,4
474,alternate,4
475,downsample,4
476,read,4
477,patch,4
478,downstream,4
479,designate,4
480,fit,4
481,sharde,4
482,roll,4
483,backbone,4
484,distil,4
485,pursue,4
486,point,4
487,eliminate,4
488,contrast,4
489,enforce,4
490,initiate,3
491,multiply,3
492,repeat,3
493,track,3
494,pare,3
495,restock,3
496,chain,3
497,raise,3
498,gain,3
499,walk,3
500,tile,3
501,gate,3
502,look,3
503,meet,3
504,eat,3
505,visit,3
506,induce,3
507,endow,3
508,refine,3
509,discrete,3
510,pertain,3
511,quantify,3
512,imply,3
513,necessitate,3
514,view,3
515,scrape,3
516,argue,3
517,siloe,3
518,yield,3
519,compress,3
520,speed,3
521,reuse,3
522,rxbar,3
523,infer,3
524,store,3
525,ﬁnde,3
526,aid,3
527,envision,3
528,image,3
529,testbe,3
530,belong,3
531,cross,3
532,incur,3
533,replicate,3
534,code,3
535,imagine,3
536,access,3
537,drag,3
538,satisfy,3
539,convey,3
540,prevent,3
541,clone,3
542,stem,3
543,ignore,3
544,opt,3
545,unfreeze,3
546,save,3
547,broaden,3
548,elevate,3
549,bootstrappe,3
550,supersize,3
551,bridge,3
552,talk,3
553,procure,3
554,preprocesse,3
555,empower,3
556,behave,3
557,dash,3
558,influence,3
559,print,3
560,balance,3
561,circumvent,3
562,overﬁtte,3
563,evidence,3
564,complicate,3
565,light,3
566,evolve,3
567,unsupervise,3
568,vise,3
569,regularize,3
570,difﬁcult,2
571,bin,2
572,engage,2
573,wonder,2
574,harness,2
575,tione,2
576,scribe,2
577,omplete,2
578,format,2
579,proceed,2
580,further,2
581,amortize,2
582,pllm,2
583,emit,2
584,bootstrap,2
585,crowd,2
586,ﬁrst,2
587,spell,2
588,accompany,2
589,relax,2
590,prioritize,2
591,coordinate,2
592,monitor,2
593,ate,2
594,complement,2
595,iterate,2
596,reset,2
597,skill,2
598,engineer,2
599,wish,2
600,issue,2
601,recycle,2
602,unlock,2
603,fetch,2
604,begin,2
605,specialize,2
606,overfitte,2
607,shed,2
608,partition,2
609,twist,2
610,retry,2
611,stick,2
612,fulfill,2
613,dub,2
614,bear,2
615,gather,2
616,excel,2
617,robot,2
618,maximize,2
619,subsample,2
620,ice,2
621,count,2
622,surround,2
623,cut,2
624,prepare,2
625,sacrifice,2
626,reflect,2
627,publish,2
628,direct,2
629,interface,2
630,elicit,2
631,realize,2
632,erate,2
633,skip,2
634,distinguish,2
635,strate,2
636,sort,2
637,ite,2
638,ingest,2
639,sign,2
640,domain,2
641,deviate,2
642,afford,2
643,internalize,2
644,perceiver,2
645,estimate,2
646,bind,2
647,underperform,2
648,conclude,2
649,swap,2
650,database,2
651,revisit,2
652,scan,2
653,display,2
654,contact,2
655,resize,2
656,configure,2
657,favor,2
658,compensate,2
659,compromise,2
660,calibrate,2
661,overwrite,2
662,recede,2
663,slow,2
664,embrace,2
665,route,2
666,deteriorate,2
667,disentangle,2
668,novel,2
669,forget,2
670,mimic,2
671,arrange,2
672,alleviate,2
673,shuffle,2
674,bake,2
675,concentrate,2
676,organize,2
677,slide,2
678,text,2
679,vide,2
680,center,2
681,correlate,2
682,late,2
683,account,2
684,encounter,2
685,deal,2
686,couple,2
687,fund,2
688,garde,2
689,repair,2
690,paraphrase,2
691,localize,2
692,neere,2
693,attract,2
694,harvest,2
695,ﬁle,2
696,demand,2
697,ple,2
698,ensue,2
699,unlabelle,2
700,enlarge,2
701,reﬁne,2
702,segment,2
703,lag,2
704,neglect,2
705,frite,2
706,pear,2
707,llm,1
708,mine,1
709,quantiﬁes,1
710,double,1
711,discount,1
712,speciﬁes,1
713,purchase,1
714,coax,1
715,emulate,1
716,amend,1
717,pcombine,1
718,rate,1
719,state,1
720,enumerate,1
721,dispose,1
722,vacuum,1
723,inﬂuence,1
724,flan,1
725,rank,1
726,owe,1
727,color,1
728,react,1
729,hindsight,1
730,climb,1
731,sukhin,1
732,sim,1
733,alfre,1
734,derstande,1
735,tracte,1
736,listen,1
737,educate,1
738,invent,1
739,veriﬁe,1
740,tribute,1
741,film,1
742,collide,1
743,predetermine,1
744,graduate,1
745,logic,1
746,veriﬁes,1
747,sponde,1
748,park,1
749,hydrate,1
750,compost,1
751,quench,1
752,mind,1
753,counter,1
754,hide,1
755,traerme,1
756,butcher,1
757,comfort,1
758,cooperate,1
759,cook,1
760,fight,1
761,die,1
762,import,1
763,clear,1
764,ploy,1
765,hybridize,1
766,tie,1
767,discern,1
768,embe,1
769,bed,1
770,subscript,1
771,cache,1
772,recompute,1
773,utensil,1
774,imbalance,1
775,overrepresente,1
776,actuate,1
777,assist,1
778,obstruct,1
779,porate,1
780,recall,1
781,trash,1
782,esize,1
783,shake,1
784,bent,1
785,sponge,1
786,appeal,1
787,pipeline,1
788,rameterize,1
789,speak,1
790,sorb,1
791,hit,1
792,patchify,1
793,disrupt,1
794,negate,1
795,example,1
796,occlude,1
797,pattern,1
798,practice,1
799,originate,1
800,cap,1
801,acknowledgment,1
802,jump,1
803,ocean,1
804,clude,1
805,ternalize,1
806,steer,1
807,observation,1
808,ﬁlter,1
809,replan,1
810,sequence,1
811,enize,1
812,reference,1
813,identiﬁe,1
814,plm,1
815,propagate,1
816,cuse,1
817,lize,1
818,thresholde,1
819,relabele,1
820,rize,1
821,beneﬁtte,1
822,jecte,1
823,surface,1
824,communicate,1
825,enter,1
826,nipulate,1
827,violate,1
828,gear,1
829,oracle,1
830,probe,1
831,strengthen,1
832,discretized,1
833,prepend,1
834,vima,1
835,space,1
836,alter,1
837,baseline,1
838,allocate,1
839,echo,1
840,dominate,1
841,stay,1
842,constraint,1
843,standardize,1
844,internship,1
845,morph,1
846,clip,1
847,body,1
848,librarie,1
849,shape,1
850,texture,1
851,program,1
852,trace,1
853,occupy,1
854,meta,1
855,memorize,1
856,prepende,1
857,diminish,1
858,size,1
859,power,1
860,inpainte,1
861,aforementione,1
862,witness,1
863,level,1
864,duce,1
865,extrapolate,1
866,fuel,1
867,converge,1
868,repurpose,1
869,stitch,1
870,admit,1
871,jeopardize,1
872,context,1
873,wave,1
874,trade,1
875,grant,1
876,sense,1
877,blend,1
878,hover,1
879,experience,1
880,bold,1
881,pour,1
882,rest,1
883,delineate,1
884,pause,1
885,omit,1
886,repository,1
887,discontinue,1
888,regenerate,1
889,upscale,1
890,downscale,1
891,step,1
892,replay,1
893,exhilarate,1
894,democratize,1
895,garner,1
896,reply,1
897,precede,1
898,copy,1
899,apose,1
900,retrain,1
901,pave,1
902,alize,1
903,lay,1
904,comprise,1
905,lock,1
906,retargete,1
907,edit,1
908,document,1
909,buffer,1
910,hedge,1
911,shut,1
912,widowx,1
913,mate,1
914,search,1
915,send,1
916,evalute,1
917,underline,1
918,tap,1
919,innovate,1
920,energize,1
921,nudge,1
922,aggregate,1
923,intend,1
924,parallelize,1
925,interweave,1
926,host,1
927,underfitte,1
928,expert,1
929,upsample,1
930,tseen,1
931,marize,1
932,saturate,1
933,unfold,1
934,covid,1
935,pay,1
936,excite,1
937,devise,1
938,submodule,1
939,manifest,1
940,exemplify,1
941,wear,1
942,dress,1
943,tally,1
944,term,1
945,ascribe,1
946,undergo,1
947,overlook,1
948,inputte,1
949,ascertain,1
950,ducte,1
951,multiview,1
952,sum,1
953,suppose,1
954,rewrite,1
955,claim,1
956,suppress,1
957,defect,1
958,participate,1
959,hinder,1
960,subject,1
961,underscore,1
962,tokenizes,1
963,sustain,1
964,automate,1
965,𝑛confounde,1
966,𝛼increase,1
967,revolutionize,1
968,safeguard,1
969,combat,1
970,revise,1
971,permit,1
972,plore,1
973,ﬁll,1
974,benchmark,1
975,cope,1
976,pervise,1
977,exit,1
978,attempt,1
979,phrase,1
980,reformulate,1
981,ˆxi,1
982,trate,1
983,uate,1
984,pseudo,1
985,debiase,1
986,hance,1
987,multi,1
988,timize,1
989,modulate,1
990,troduce,1
991,ferre,1
992,vlm,1
993,deign,1
994,vestigate,1
995,overﬁt,1
996,changele,1
997,ease,1
998,able,1
999,foresee,1
1000,survey,1
1001,entail,1
1002,cuire,1
1003,glean,1
1004,swere,1
1005,trigger,1
1006,signal,1
1007,reserve,1
1008,override,1
1009,pronounce,1
1010,nuance,1
1011,disambiguate,1
1012,hammer,1
1013,personalize,1
1014,dog,1
1015,mouse,1
1016,google,1
1017,android,1
1018,youtube,1
1019,taylor,1
1020,snoop,1
